Product Name,Processor Type,RAM,Storage,Display,Price
"Asus TUF Dash F15 FX517ZC Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","AMD Ryzen 7 7730U (8-core/16-thread, 16MB cache, up to 4.5 GHz)","8GB DDR5 4800MHz , ", 512GB SSD,"Features: 16” UHD+ OLED Display, Backlit Keyboard, Fingerprint","139,000"
"MSI Katana 15 B12UDXK Core i5 12th Gen RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-1135G7 (8M Cache, 2.40 GHz up to 4.20 GHz)","16GB DDR4 3200MHz , ", 512GB SSD,"16.2"" Liquid Retina display (3456 x 2234)","139,000"
"Thunderobot 911MT Core i5 12th Gen RTX 3060 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop","AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)","16GB LPDDR4X, ", 512GB SSD,"14.2"" Liquid Retina display (3024 x 1664)","139,000"
"ASUS Vivobook Pro 15 M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop","Intel Core i5-12450H (12M Cache, 3.30 GHz up to 4.40 GHz)",16GB DDR4 , 512GB M.2 NVMe PCIe 3.0 SSD,"14.2"" Liquid Retina display (3024 x 1664)","139,500"
"Lenovo IdeaPad Slim 5 16IRL8 Core i7 13th Gen 16"" WUXGA Laptop","AMD Ryzen 7 5800H (8-core, 16-thread, 20MB cache, up to 4.4 GHz)","16GB DDR4 3200MHz, ", 512GB SSD,"14.2"" Liquid Retina display (3024 x 1664)","140,000"
"ASUS TUF Gaming A15 FA507RE Ryzen 7 6800H RTX 3050 Ti 4GB Graphics 15.6"" FHD Gaming Laptop","Intel Core i5-13500H (18M Cache, 3.40 GHz, up to 4.70 GHz)","16GB LPDDR5 on board, ", 512GB SSD,"14.2"" Liquid Retina display (3024 x 1664)","142,900"
"ASUS Vivobook S 16 Flip OLED TN3604YA Ryzen 7 7730U 16"" 3.2K Touch Laptop","Intel Core i5-12500H Processor (18M Cache, up to 4.50 GHz)","16GB DDR5, ", 1TB SSD,"14.2"" Liquid Retina display (3024 x 1664)","142,900"
"Lenovo ThinkPad P14s Gen 2 Core i5 11th Gen 14"" FHD Business Laptop","Intel Core i5-12500H (18M Cache, up to 4.50 GHz)","8GB DDR5 4800MHz , ", 512GB SSD,"16.2"" Liquid Retina display (3456 x 2234)","143,000"
"ASUS TUF Gaming A15 FA507RC Ryzen 7 6800H RTX 3050 4GB Graphics 15.6"" FHD Gaming Laptop",Intel Core i5-12500H (Up to 4.40 GHz),"16GB DDR5, ", 512GB SSD,"16.2"" Liquid Retina display (3456 x 2234)","144,000"
"Lenovo IdeaPad Gaming 3i Core i5 12th Gen RTX 3050 4GB Graphics 16"" 2K WUXGA Laptop","Intel Core i5-13420H (12M Cache, 3.4 GHz up to 4.6 GHz)","16GB DDR4 , ", 512GB SSD,"16.2"" Liquid Retina display (3456 x 2234)","144,000"
"ASUS Vivobook Pro 15 OLED M3500QC Ryzen 7 5800H RTX 3050 4GB Graphics 15.6"" FHD Laptop with Windows 11","Apple M2 chip, 8-core CPU with 4 performance cores and 4 efficiency cores","8GB, ", 512GB SSD,"16.2"" Liquid Retina display (3456 x 2234)","144,500"
"Thunderobot 911X Core i5 13th Gen RTX 4050 6GB Graphics 15.6"" FHD 165Hz Gaming Laptop","AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)","8GB, ", 512GB SSD,"16.2"" Liquid Retina display (3456 x 2234)","144,900"
"GIGABYTE G5 KE Core i5 12th Gen RTX 3060 6GB Graphics 15.6"" FHD 144Hz Gaming Laptop","Intel Core i7-1255U (12M Cache, 3.5 GHz up to 4.7 GHz)",16GB DDR5 4800MHz  , 512GB SSD,"14.2"" Liquid Retina display (3024 x 1964)","146,000"
"GIGABYTE AORUS 15 9MF Core i5 12th Gen RTX 4050 6GB Graphics 15.6"" FHD 360Hz Gaming Laptop","AMD Ryzen 7 6800H (16M Cache, 3.2 GHz up to 4.7 GHz)","16GB DDR4-3200, ", 1TB SSD,"14.2"" Liquid Retina display (3024 x 1964)","146,000"
"ASUS VivoBook 16X K3605ZF-MX041W Core i5 12th Gen 16"" OLED Laptop","AMD Ryzen 9 5900HX (16MB L3 Cache, 3.3GHz up to 4.6GHz)","16GB RAM, ", 512GB SSD,"16.2"" Liquid Retina display ( 3456 x 2234)","148,000"
"Lenovo LOQ 15IRH8 Core i5 13th Gen RTX 3050 6GB Graphics 15.6"" FHD Gaming Laptop","Apple M2 chip, 8-core CPU with 4 performance cores and 4 efficiency cores","16GB DDR5 4800MHz, ", 512GB SSD,"16.2"" Liquid Retina display ( 3456 x 2234)","148,000"
Apple MacBook Air (2022) Apple M2 Chip 13.6-Inch Liquid Retina Display 8GB RAM 256GB SSD Midnight #MLY33LL/A / MLY33ZP/A,"Intel Core i7-1255U (12M Cache, up to 4.70 GHz)","16GB LPDDR5, ", 1TB SSD,"16.2"" Liquid Retina display ( 3456 x 2234)","149,000"
"ASUS Vivobook S 16X OLED M5602RA Ryzen 7 6800H 16"" OLED Laptop",Intel Core i5 13500HX 13th Gen,"8GB, ", 512GB SSD,"16.2"" Liquid Retina display ( 3456 x 2234)","149,000"
"Lenovo IdeaPad Flex 5 14IAU7 Core i7 12th Gen 14"" WUXGA Touch Laptop","Intel Core i7-1165G7 (12M Cache, 2.80 GHz up to 4.70 GHz, with IPU)","8GB, ", 512GB SSD,"16.2"" Liquid Retina display ( 3456 x 2234)","150,000"
"ASUS TUF Gaming A15 FA507RE Ryzen 7 6800H RTX 3050 Ti 4GB Graphics 15.6"" FHD Jaeger Gray Gaming Laptop","Intel Core i7-13620H (24M Cache, 2.4 GHz up to 4.90 GHz)","8GB, ", 512GB SSD,"15.3"" Liquid Retina display (2880 x 1864)","143,000"
